trialIdx,NumberInBlock,direction,speed,timeMilSec,mouseX,mouseY,InvertedMouseY,greenX0,greenX1,greenY0,greenY1,redX0,redX1,redY0,redY1
10,0,0,0,1517913170246,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170251,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170252,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170253,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170257,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170259,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170261,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170263,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170265,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170267,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170271,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170273,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170275,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170276,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170279,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170281,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170283,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170285,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170289,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170291,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170293,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170295,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170297,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170299,490,540,540,640,640,320,760,1280,1280,320,760
10,0,0,0,1517913170301,490,540,540,640,640,320,760,1280,1280,320,760
