Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,Speed1,Speed2,Average1,Average2,Average3,Relative-Speed
13,3,3,1,Short,Vertical,L,0.013,7.82E-05,0.001104771,-0.001026571,1,4.67E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Short,Diagonal,R,0.024,7.83E-05,0.001104771,-0.001026471,1,7.75E-05,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Short,Diagonal,L,0.08,2.38E-04,0.001104771,-0.000866771,1,1.97E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Medium,Horizontal,R,0.032,8.92E-05,0.001104771,-0.001015571,1,1.55E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Medium,Horizontal,L,0.045,1.25E-04,0.001104771,-0.000979771,1,0.001837258,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Medium,Vertical,R,0.029,7.90E-05,0.001104771,-0.001025771,1,1.55E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Medium,Vertical,L,0.02,5.65E-05,0.001104771,-0.001048271,1,1.35E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Medium,Diagonal,R,0.027,6.24E-05,0.001104771,-0.001042371,1,1.98E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Medium,Diagonal,L,0.036,8.01E-05,0.001104771,-0.001024671,1,1.14E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Long,Horizontal,R,0.042,7.50E-05,0.001104771,-0.001029771,1,0.012255813,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Long,Horizontal,L,0.043,7.68E-05,0.001104771,-0.001027971,1,1.77E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Long,Vertical,R,0.045,7.96E-05,0.001104771,-0.001025171,1,0.0027888,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Long,Vertical,L,0.036,6.36E-05,0.001104771,-0.001041171,1,1.39E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Long,Diagonal,R,0.04,6.31E-05,0.001104771,-0.001041671,1,1.42E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,1,Long,Diagonal,L,0.086,1.40E-04,0.001104771,-0.000964771,1,1.33E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Short,Horizontal,R,1.034,0.006391001,0.001104771,0.00528623,1,0.0069015,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Short,Horizontal,L,0.022,1.37E-04,0.001104771,-0.000967771,1,2.92E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Short,Vertical,R,0.026,1.61E-04,0.001104771,-0.000943771,1,3.54E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Short,Vertical,L,1.001,0.006060437,0.001104771,0.004955666,1,0.002857423,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Short,Diagonal,R,0.069,2.52E-04,0.001104771,-0.000852771,1,0.002916913,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Short,Diagonal,L,0.022,8.42E-05,0.001104771,-0.001020571,1,1.59E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Medium,Horizontal,R,2.066,0.005722904,0.001104771,0.004618133,1,1.24E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Medium,Horizontal,L,0.062,1.72E-04,0.001104771,-0.000932771,1,3.07E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Medium,Vertical,R,0.034,9.50E-05,0.001104771,-0.001009771,1,1.90E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Medium,Vertical,L,1.087,0.003015248,0.001104771,0.001910477,1,2.59E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Medium,Diagonal,R,0.078,1.71E-04,0.001104771,-0.000933771,1,0.005372282,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Medium,Diagonal,L,0.032,7.45E-05,0.001104771,-0.001030271,1,1.57E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Long,Horizontal,R,3.003,0.005371543,0.001104771,0.004266772,1,0.001622715,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Long,Horizontal,L,0.039,7.03E-05,0.001104771,-0.001034471,1,2.68E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Long,Vertical,R,0.059,1.05E-04,0.001104771,-0.000999771,1,2.15E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Long,Vertical,L,2.065,0.003668076,0.001104771,0.002563305,1,0.005802373,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Long,Diagonal,R,1.073,0.001786379,0.001104771,0.000681608,1,0.002250626,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Long,Diagonal,L,0.09,1.52E-04,0.001104771,-0.000952771,1,0.00177197,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Short,Horizontal,R,0.034,2.06E-04,0.001104771,-0.000898771,1,1.33E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Short,Horizontal,L,0.037,2.27E-04,0.001104771,-0.000877771,1,0.012893082,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,2,Short,Vertical,R,0.031,1.93E-04,0.001104771,-0.000911771,1,0.006597484,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Short,Vertical,L,0.033,2.04E-04,0.001104771,-0.000900771,1,0.006343932,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Short,Diagonal,R,0.063,2.47E-04,0.001104771,-0.000857771,1,0.006310437,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Short,Diagonal,L,0.057,2.23E-04,0.001104771,-0.000881771,1,0.004520597,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Medium,Horizontal,R,0.041,1.13E-04,0.001104771,-0.000991771,1,0.005793353,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Medium,Horizontal,L,0.067,1.86E-04,0.001104771,-0.000918771,1,0.002994356,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Medium,Vertical,R,1.003,0.002816871,0.001104771,0.0017121,1,0.005661013,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,2,Medium,Vertical,L,0.056,1.52E-04,0.001104771,-0.000952771,1,0.008271779,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,2,Medium,Diagonal,R,0.099,2.52E-04,0.001104771,-0.000852771,1,0.005667113,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,2,Medium,Diagonal,L,0.048,1.14E-04,0.001104771,-0.000990771,1,0.004817586,0.006195928,2.48E-03,5.74E-04,-1.91E-03
