Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2
1,2,2,3,Long,Diagonal,L,0.037,6.33E-05
1,2,1,4,Short,Horizontal,R,0.071,4.44E-04
1,2,1,4,Long,Diagonal,L,1.073,0.001869608
1,2,2,4,Short,Horizontal,L,0.008,4.85E-05
1,2,2,4,Long,Diagonal,R,0.045,7.41E-05
1,2,1,4,Short,Vertical,R,1.033,0.006451715
1,2,1,4,Long,Vertical,L,2.036,0.003641636
1,2,1,4,Short,Vertical,L,0.071,4.44E-04
1,2,1,4,Long,Vertical,R,3.033,0.005415208
1,2,2,4,Short,Diagonal,R,0.011,4.85E-05
1,2,2,4,Long,Horizontal,L,0.041,7.30E-05
1,2,1,4,Short,Diagonal,L,0.085,3.78E-04
1,2,1,4,Long,Horizontal,R,2.09,0.003697627
1,2,2,4,Medium,Horizontal,R,0.025,6.68E-05
1,2,2,4,Medium,Diagonal,L,0.03,7.81E-05
1,2,1,4,Medium,Horizontal,L,2.02,0.005611111
1,2,1,4,Medium,Diagonal,R,2.037,0.004855922
1,2,2,4,Medium,Vertical,R,0.033,8.54E-05
1,2,2,4,Medium,Vertical,L,0.034,9.29E-05
1,2,1,4,Medium,Vertical,L,3.011,0.008386666
1,2,1,4,Medium,Vertical,R,3.015,0.008374968
1,2,2,4,Medium,Diagonal,R,0.029,7.24E-05
1,2,2,4,Medium,Horizontal,L,0.032,8.91E-05
1,2,1,4,Medium,Diagonal,L,1.099,0.00285628
1,2,1,4,Medium,Horizontal,R,2.049,0.00556921
1,2,2,4,Long,Horizontal,R,0.077,1.38E-04
1,2,2,4,Short,Diagonal,L,0.051,2.32E-04
1,2,1,4,Long,Horizontal,L,2.047,0.003661264
1,2,1,4,Short,Diagonal,R,1.037,0.004226637
1,2,2,4,Long,Vertical,R,0.073,1.27E-04
1,2,2,4,Short,Vertical,L,0.067,4.16E-04
1,2,1,4,Long,Vertical,L,2.048,0.00365656
1,2,1,4,Short,Vertical,R,1.004,0.0059567
1,2,2,4,Long,Diagonal,R,1.005,0.001581775
1,2,2,4,Short,Horizontal,L,0.016,9.19E-05
1,2,1,4,Long,Diagonal,L,0.027,4.63E-05
1,2,1,4,Short,Horizontal,R,0.072,4.44E-04
2,2,1,1,Short,Horizontal,R,0.064,4.59E-04
2,2,1,1,Short,Horizontal,L,5.014,0.031162098
2,2,1,1,Short,Vertical,R,3.063,0.020284768
2,2,1,1,Short,Vertical,L,0.085,5.62E-04
2,2,1,1,Short,Diagonal,R,1.022,0.006660419
2,2,1,1,Short,Diagonal,L,0.025,1.52E-04
