Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,OverAllAverage,Relative-Speed,Average1,Average2,average11,Speed1,Speed2
1,2,2,2,Short,Horizontal,L,0.041,2.52E-04,0.003373259,-0.003121259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,5.19E-04
1,2,2,2,Long,Diagonal,R,0.066,1.09E-04,0.003373259,-0.003264259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.00630428
1,2,1,2,Short,Vertical,R,1.02,0.006304469,0.003373259,0.00293121,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,2.73E-04
1,2,1,2,Long,Vertical,L,1.088,0.001942161,0.003373259,-0.001431098,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.002852739
1,2,1,2,Short,Vertical,L,0.097,6.06E-04,0.003373259,-0.002767259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.002844754
1,2,1,2,Long,Vertical,R,3.049,0.00539646,0.003373259,0.002023201,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.002487032
1,2,2,2,Short,Diagonal,R,0.019,8.24E-05,0.003373259,-0.003290859,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.001918931
1,2,2,2,Long,Horizontal,L,0.056,1.01E-04,0.003373259,-0.003272259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.005416034
1,2,1,2,Short,Diagonal,L,0.069,3.49E-04,0.003373259,-0.003024259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.003373122
1,2,1,2,Long,Horizontal,R,1.068,0.001895561,0.003373259,-0.001477698,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,4.40E-04
1,2,2,2,Medium,Horizontal,R,0.038,1.05E-04,0.003373259,-0.003268259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,3.49E-04
1,2,2,2,Medium,Diagonal,L,0.038,9.62E-05,0.003373259,-0.003277059,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,2.51E-04
1,2,1,2,Medium,Horizontal,L,1.043,0.002889186,0.003373259,-0.000484073,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.002913709
1,2,1,2,Medium,Diagonal,R,1.096,0.002713986,0.003373259,-0.000659273,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.005708113
1,2,2,2,Medium,Vertical,R,0.047,1.27E-04,0.003373259,-0.003246259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.004899205
1,2,2,2,Medium,Vertical,L,0.048,1.31E-04,0.003373259,-0.003242259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.003722617
1,2,1,2,Medium,Vertical,L,1.076,0.002988785,0.003373259,-0.000384474,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.00534773
1,2,1,2,Medium,Vertical,R,1.053,0.002924955,0.003373259,-0.000448304,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.003494034
